brandname,model,cpucore,refreshrate,gpu,ram,ssd,rom,display,displayquality,price,zscore_price
asus,ZenBook Flip 13 UX363EA,I7G10,144.0,Intel Iris Plus,16.0,512.0,0.0,13.0,fhd,176000,0.41291018793059875
asus,ZenBook Duo UX481,I7G10,144.0,GeForce MX250,16.0,1024.0,0.0,14.0,fhd,215000,0.9996888065225685
asus,TUF F15 FX506LI,I5G10,144.0,GTX 1650 Ti,8.0,512.0,0.0,16.0,fhd,120000,-0.42964372594505024
asus,TUF F15 FX506LI,I5G10,144.0,GTX 1650 Ti,16.0,512.0,0.0,16.0,fhd,125000,-0.3544156979204387
asus,TUF F15 FX506LU,I7G10,144.0,GTX 1660 Ti,16.0,512.0,0.0,16.0,fhd,183333,0.523239613831494
asus,TUF F15 FX506LH,I7G10,144.0,GTX 1650,8.0,512.0,0.0,16.0,fhd,148000,-0.00836676900722574
asus,TUF F15 FX506LH,I7G10,144.0,GTX 1650 Ti,16.0,512.0,0.0,16.0,fhd,157777,0.13873411699209962
asus,TUF Dash F15 2021,I5G11,144.0,RTX 3060,8.0,512.0,0.0,16.0,fhd,183000,0.5182294271650548
asus,TUF Dash F15 2021,I7G11,144.0,RTX 3060,8.0,512.0,0.0,16.0,fhd,215000,0.9996888065225685
asus,TUF Dash F15 2021,I7G11,240.0,RTX 3070,16.0,1024.0,0.0,16.0,fhd,183000,0.5182294271650548
asus,TUF A15 FA506II,I7,144.0,GTX 1650 Ti,16.0,512.0,0.0,16.0,fhd,152000,0.05181565341246347
asus,TUF A15 FA506IU,I7,144.0,GTX 1660 Ti,16.0,512.0,0.0,16.0,fhd,161000,0.1872261038567642
asus,ROG Strix G15 G512LI,I5G10,144.0,GTX 1650 Ti,16.0,512.0,0.0,16.0,fhd,148000,-0.00836676900722574
asus,ROG Strix G15 G512LI,I7G10,144.0,GTX 1650 Ti,16.0,512.0,0.0,16.0,fhd,168800,0.30458182757515817
asus,ROG Strix Scar 15 G533WS,ryzen5,300.0,RTX 3080,16.0,1024.0,0.0,16.0,fhd,410000,3.9335818994824177
asus,Zephyrus G14 GA401IU,I7,120.0,GTX 1660 Ti,16.0,512.0,0.0,14.0,fhd,200000,0.774004722448734
dell,Inspiron 15 3501,I3G10,60.0,Intel UHD,4.0,0.0,1024.0,16.0,hd,58750,-1.3511870692465413
dell,Inspiron 15 3501,I5G11,144.0,MX330,4.0,0.0,1024.0,16.0,fhd,86235,-0.9376585991952517
dell,Inspiron 13 5391,I5G10,144.0,Intel UHD,8.0,256.0,0.0,13.0,fhd,102000,-0.7004646268336516
dell,Inspiron 13 5391,I5G10,144.0,Intel UHD,8.0,256.0,0.0,13.0,fhd,103000,-0.6854190212287293
dell,Inspiron 14 5301,I5G11,144.0,MX350,8.0,512.0,0.0,13.0,fhd,126270,-0.3353077788021874
dell,Inspiron 14 5301,I7G11,144.0,MX350,8.0,512.0,0.0,13.0,fhd,140490,-0.12135926710019224
dell,Inspiron 14 5406,I5G11,144.0,Iris Xe,8.0,512.0,0.0,14.0,fhd,126380,-0.33365276218564593
dell,Inspiron 14 5406,I5G11,144.0,MX230,8.0,512.0,0.0,14.0,fhd,135835,-0.19139656119110554
dell,Inspiron 14 5406,I7G11,144.0,MX230,8.0,512.0,0.0,14.0,fhd,154455,0.08875261517254772
dell,Inspiron 15 5502,I7G11,144.0,Intel UHD,8.0,256.0,0.0,16.0,fhd,120000,-0.42964372594505024
dell,Inspiron 15 5505,I7,144.0,Radeon,8.0,512.0,0.0,16.0,fhd,113905,-0.5213466921070516
dell,Inspiron 15 5593,I5G10,144.0,MX230,8.0,512.0,0.0,16.0,fhd,95000,-0.8057838660681078
dell,Inspiron 13 7306,I5G11,144.0,Intel Iris Xe,8.0,512.0,0.0,13.0,fhd,161405,0.19331957412675774
dell,Inspiron 13 7306,I7G11,144.0,Intel Iris Xe,16.0,512.0,0.0,13.0,4k,189905,0.6221193338670433
dell,Inspiron 13 7391,I5G10,144.0,Intel Iris Xe,8.0,256.0,0.0,13.0,fhd,118000,-0.45973493715489483
dell,Inspiron 13 7391,I5G10,144.0,Intel Iris Xe,8.0,512.0,0.0,13.0,4k,120000,-0.42964372594505024
dell,Inspiron 13 7391,I7G10,144.0,Intel Iris Xe,8.0,256.0,0.0,13.0,fhd,148000,-0.00836676900722574
dell,Inspiron 13 7391,I7G10,144.0,Intel Iris Xe,16.0,512.0,0.0,13.0,4k,157000,0.12704368143707498
dell,Inspiron 14 7490,I5G10,144.0,Intel Iris Xe,8.0,256.0,0.0,14.0,fhd,118000,-0.45973493715489483
dell,Inspiron 14 7490,I7G10,144.0,Intel Iris Xe,8.0,512.0,0.0,14.0,fhd,120000,-0.42964372594505024
dell,Inspiron 14 7490,I7G10,144.0,Intel Iris Xe,8.0,256.0,0.0,14.0,fhd,125000,-0.3544156979204387
dell,Inspiron 14 7490,I5G10,144.0,Intel Iris Xe,8.0,512.0,0.0,14.0,fhd,125000,-0.3544156979204387
dell,Inspiron 14 7490,I7G10,144.0,Intel Iris Xe,16.0,512.0,0.0,14.0,fhd,156000,0.11199807583215268
dell,Inspiron 15 7500,I7G10,144.0,Intel Iris Xe,16.0,1024.0,0.0,16.0,fhd,175000,0.39786458232567645
dell,G3 G3500,I5G10,144.0,GTX 1650 Ti,8.0,512.0,0.0,16.0,fhd,125000,-0.3544156979204387
dell,G3 G3500,I5G10,144.0,GTX 1660 Ti,16.0,512.0,0.0,16.0,fhd,135000,-0.20395964187121568
dell,G5 15 5500,I7G10,144.0,RTX 2070,8.0,512.0,0.0,16.0,fhd,205105,0.8508125390618624
dell,G5 15 5500,I7G10,144.0,RTX 2070,16.0,1024.0,0.0,16.0,fhd,242250,1.4096815592567014
dell,G5 15 SE,I7,144.0,RX 5600M,8.0,512.0,0.0,16.0,fhd,152800,0.06385213789640132
dell,G5 15 SE,I7,144.0,RX 5600M,8.0,512.0,0.0,16.0,fhd,158000,0.14208928704199728
dell,G5 15 SE,I7,144.0,RX 5600M,16.0,512.0,0.0,16.0,fhd,158800,0.15412577152593512
dell,G7 7500,I7G10,144.0,RTX 2060,16.0,512.0,0.0,16.0,fhd,237500,1.3382149326333204
dell,Alienware m15 R3,I7G10,300.0,RTX 2070 SUPER,16.0,512.0,0.0,16.0,fhd,310000,2.429021338990187
dell,Vostro 14 3400,I3G11,60.0,Intel UHD,4.0,0.0,1024.0,14.0,hd,60000,-1.3323800622403883
dell,Vostro 14 3400,I5G11,144.0,Intel Iris Xe,4.0,0.0,1024.0,14.0,fhd,77500,-1.0690819641542482
dell,Vostro 14 3401,I3G10,60.0,Intel UHD,4.0,0.0,1024.0,14.0,hd,57500,-1.369994076252694
dell,Vostro 14 3401,I3G10,144.0,Intel UHD,4.0,0.0,1024.0,14.0,fhd,60040,-1.3317782380161916
dell,Vostro 15 3500,I7G11,144.0,MX330,8.0,512.0,0.0,16.0,fhd,112000,-0.5500085707844287
dell,Vostro 15 3500,I5G11,144.0,Intel Iris Xe,4.0,0.0,1024.0,16.0,fhd,77501,-1.0690669185486432
dell,Vostro 15 3500,I5G11,60.0,Intel ,8.0,256.0,0.0,14.0,hd,85000,-0.9562399221173308
dell,Vostro 15 3500,I5G11,60.0,NVIDIA 2GB,8.0,256.0,0.0,14.0,hd,90000,-0.8810118940927193
dell,Vostro 15 3501,I3G10,60.0,Intel UHD,4.0,0.0,1024.0,14.0,hd,57500,-1.369994076252694
dell,Latitude 14 3410,I5G10,60.0,Intel UHD,4.0,0.0,1024.0,14.0,hd,82500,-0.9938539361296366
dell,XPS 13 7390,I5G10,144.0,Intel UHD,8.0,256.0,0.0,13.0,fhd,140000,-0.12873161384660417
dell,XPS 13 7390,I5G10,144.0,Intel UHD,8.0,256.0,0.0,13.0,fhd,144800,-0.05651270694297711
dell,XPS 13 7390,I7G10,144.0,Intel UHD,16.0,512.0,0.0,13.0,fhd,200000,0.774004722448734
dell,XPS 13 9310,I5G11,144.0,Iris Xe,8.0,512.0,0.0,13.0,fhd,214740,0.9957769490652888
dell,XPS 13 9310,I5G11,144.0,Iris Xe,8.0,256.0,0.0,13.0,fhd,228050,1.1960339596668046
dell,XPS 13 9310,I5G11,144.0,Iris Xe,16.0,512.0,0.0,13.0,fhd,308850,2.4117188925445268
dell,XPS 13 9300,I7G10,144.0,Iris Xe,16.0,512.0,0.0,13.0,4k,210800,0.9364972629818948
dell,XPS 15 9500,I5G10,144.0,Intel UHD,8.0,512.0,0.0,16.0,fhd,174800,0.39485546120469195
dell,XPS 15 9500,I7G10,144.0,GTX 1650 Ti,16.0,512.0,0.0,16.0,4k,258800,1.6586863320181655
dell,XPS 15 9500,I7G10,144.0,GTX 1650 Ti,16.0,512.0,0.0,16.0,4k,268800,1.8091423880673885
hp,hp Laptop 14,I3G10,144.0,Intel UHD,8.0,0.0,0.0,14.0,fhd,61990,-1.302439307086593
hp,hp Laptop 14,I5G10,60.0,Intel UHD,8.0,0.0,0.0,14.0,hd,78990,-1.0466640118029138
hp,hp Laptop 15,I3G11,60.0,Intel UHD,8.0,0.0,0.0,16.0,hd,64990,-1.2573024902718262
hp,hp Laptop 14,I3G10,60.0,Intel UHD,8.0,0.0,0.0,14.0,hd,64800,-1.2601611553367613
hp,hp Laptop 14,I5G10,60.0,Radeon 530,4.0,0.0,0.0,14.0,hd,79990,-1.0316184061979916
hp,hp Laptop 15,I5G10,60.0,Radeon 531,8.0,128.0,1024.0,14.0,hd,86990,-0.9262991669635354
hp,hp Laptop 15,I7G10,60.0,Intel Iris,8.0,256.0,0.0,16.0,hd,99990,-0.7307062940995455
hp,Notebook 14s,I3G10,144.0,Intel UHD,8.0,256.0,0.0,14.0,fhd,63000,-1.2872432454256215
hp,Notebook 14s,I3G10,144.0,Intel UHD,4.0,512.0,0.0,14.0,fhd,68500,-1.2044924145985487
hp,Notebook 14s,I5G10,144.0,MX130,4.0,0.0,1024.0,14.0,fhd,89000,-0.8960574996976416
hp,Pavilion 14 c360m,I5G11,144.0,Intel UHD,8.0,256.0,0.0,14.0,fhd,110000,-0.5800997819942733
hp,Pavilion X360 2020,I5G11,144.0,Iris Xe,8.0,512.0,0.0,14.0,fhd,115000,-0.5048717539696618
