brandname,model,cpucore,refreshrate,gpu,ram,ssd,rom,display,displayquality,price
asus,Zephyrus G14 GA401IU,Ryzen 7 4800H,120,GTX 1660 Ti,16,512,,14,FHD,200000
dell,Inspiron 15 3501,Core i3-1005G1,,Intel UHD,4,,1024,15.6,HD,58750
dell,Inspiron 15 3501,Core i5-1135G7,,MX330,4,,1024,15.6,FHD,86235
dell,Inspiron 13 5391,Core i5-10210U,,Intel UHD,8,256,,13.3,FHD,102000
dell,Inspiron 13 5391,Core i5-10210U,,Intel UHD,8,256,,13.3,FHD,103000
dell,Inspiron 14 5301,Core i5-1135G7,,MX350,8,512,,13.3,FHD,126270
dell,Inspiron 14 5301,Core i7-1165G7,,MX350,8,512,,13.3,FHD,140490
dell,Inspiron 14 5406,Core i5-1135G7,,Iris Xe,8,512,,14,FHD,126380
dell,Inspiron 14 5406,Core i5-1135G7,,MX230,8,512,,14,FHD,135835
dell,Inspiron 14 5406,Core i7-1165G7,,MX230,8,512,,14,FHD,154455
dell,Inspiron 15 5502,Core i7-1135G7,,Intel UHD,8,256,,15.6,FHD,120000
dell,Inspiron 15 5505,Ryzen 7 4700U,,Radeon,8,512,,15.6,FHD,113905
dell,Inspiron 15 5593,Core i5-1035G1,,MX230,8,512,,15.6,FHD,95000
dell,Inspiron 13 7306,Core i5-1135G7,,Intel Iris Xe,8,512,,13.3,FHD,161405
dell,Inspiron 13 7306,Core i7-1165G7,,Intel Iris Xe,16,512,,13.3,4K,189905
dell,Inspiron 13 7391,Core i5-10210U,,Intel Iris Xe,8,256,,13.3,FHD,118000
dell,Inspiron 13 7391,Core i5-10510U,,Intel Iris Xe,8,512,,13.3,4K,120000
dell,Inspiron 13 7391,Core i7-10510U,,Intel Iris Xe,8,256,,13.3,FHD,148000
dell,Inspiron 13 7391,Core i7-10510U,,Intel Iris Xe,16,512,,13.3,4K,157000
dell,Inspiron 14 7490,Core i5-10210U,,Intel Iris Xe,8,256,,14,FHD,118000
dell,Inspiron 14 7490,Core i7-10510U,,Intel Iris Xe,8,512,,14,FHD,120000
dell,Inspiron 14 7490,Core i7-10510U,,Intel Iris Xe,8,256,,14,FHD,125000
dell,Inspiron 14 7490,Core i5-10210U,,Intel Iris Xe,8,512,,14,FHD,125000
dell,Inspiron 14 7490,Core i7-10510U,,Intel Iris Xe,16,512,,14,FHD,156000
