acer, Nitro 5 ,9th i5 9300H,60, GTX 1650 4,8,512,,15.6,ips,108800
acer, Predator Helios 300 ,10 Gen i7-10750H,144, RTX 2060 6,16,512,,15.6,fhd,180800
acer, Predator Helios 300 2019 ,9th gen i7 9750H,144, GTX 1660Ti 6,16,256,,15.6,,150800
acer, Predator Triton 300 Gaming Laptop, 10th Gen Intel Core i7-10750H ,144, NVIDIA RTX 2070,16,512,,15.6,fhd,214800
acer, Predator Triton 500 ,i7-9750H,144,RTX 2060 6,16,512,,15.6,  ,196800
acer, Swift 7 ,Intel Core i7-7Y75,,,8,51,,13.3,fhd,120800
alienware, AREA-51M ,9th gen i7 9900K,144, RTX 2070 8,32,256,1024,17.3,,432800
apple, Macbook Air  2019 ,i5   ID,,,8,128,,13.3,retina,146800
apple, Macbook Air  2019, i5  ID,,,8,256,,13.3,retina,174800
apple, MacBook Air M1 chip with 8-core CPU, 8-core GPU,,,8,,512,13,retina ,194800
apple, MacBook Air M1 Chip with 8-core CPU,8Core CPU ,,7Core GPU ,,256,,13,retina ,146800
apple, MacBook Pro 16, i7 2.6GHz 6-Core Processor,, AMD Radeon Pro 5300M 4,16,,512,,,320800
apple, MacBook Pro 16, i9 2.3GHz 8-Core Processor,, AMD Radeon Pro 5500M 4,16,1024,,,,384800
asus, ROG ,9th Gen I7 9750H,, GTX 1650 4,8,512,,15.6,fhd,130800
asus, ROG Strix G15 Gaming Laptop, Intel i7-10870H 8 cores 16 Threads 16MB Cache,240, RTX 2060 6,16,512,,15.6,ips,196800
asus, ROG Strix G15 ,i7-10750H,144, GTX 1650Ti 4,8,512,,15.6,fhd,148800
asus, ROG Strix SCAR ,8th gen i7-8750H,144, GTX 1070 8,16,512,,15.6,fhd,172800
asus, ROG Strix Scar II ,i7 8750H,144, RTX 2070 8,16,512,,15.6,,236800
asus, ROG Zephyrus G ,AMD Ryzen 7 3750H,120, GTX 1660Ti 6,16,512,,15.6,,156800
asus, ROG Zephyrus G14 ,AMD Ryzen 9 4900HS,120, RTX 2060 6,16,1024,,14,fhd,196800
asus, ROG Zephyrus ,G14 Ryzen 7 4800HS,144, GTX 1650 4,8,512,,15.6,fhd,168800
asus, ROG Zephyrus G15,AMD Ryzen 7 4800HS,, GTX 1660Ti 6G,16,1024,,,,179800
asus, ROG Zephyrus M15 ,i7-10750H ,240,RTX 2070 Max-Q 8 ,16,1024,,15.6,fhd,228800
asus, ROG Zephyrus S Ultra Slim, 8th Gen i7-8750H,, GTX 1070 8,16,512,,,,205000
asus, TUF Dash F15 ,11th Generation i7-11370H,144, RTX 3060 6,16,512,,15.6,fhd,196800
asus, TUF Gaming A15 Gaming Laptop, AMD Ryzen 5 4600H,, GTX 1650ti 4,8,512,,15.6,ips,130800
asus, TUF Gaming A15, Ryzen 7 4800H,144, GTX 1660 Ti 6,16,512,1024,15.6,fhd,164800
asus, TUF i5 ,10th i5-10300H,, GTX 1650 Ti,8,256,,15.6,fhd,110800
asus, VivoBook 15 , AMD R7-3700U,, RX Vega 10 Graphics,8,512,,15.6,fhd,102800
asus, ZenBook 15 ,8th gen i7 8750H,, GTX 1050 Max-Q 2,16,512,,15.6,fhd,140800
asus, ZENBOOK FLIP,i7 8th Gen ,,,16,512,,14,fhd,134800
bigbyte ,,10th Gen i7-10875H,144, RTX 2070 8,32,1024,,15.6,ips,218800
bigbyte, Dominant BBDMT30 ,10th Gen i7-10870H,144, RTX 3060 6,16,1024,,15.6,ips,199800
bigbyte, Dominant powerful lightweight Laptop, Intel 10th gen i7 ,144, RTX 3060 6,32,1024,,15.6,fhd,210800
bigbyte, RT20601T ,10th Gen i7-10750H,144, RTX 2060 6,16,1024,,15.6,fhd,168800
bigbyte, Workstation Laptop , i7 10th Gen ,144, 16 MB Cache RTX 3060 6,64,1024,,15.6,,238800
bigbyte, Workstation Laptop , Intel 10th gen i7-10870H  16MB Cache,144, RTX 3060 6,64,2048,,15.6,fhd,258800
