asus,VivoBook 15 M513IA,Ryzen 5 4500U,,,8,256,,15.6,fhd,87000
asus,VIVOBOOK X509JP,i5 10TH GEN,,NVIDIA MX330,4,,1024,15.6,fhd,87000
asus,VivoBook 15 X515JA,i5 10th Gen,,,8,512,,15.6,fhd,88000
asus,VIVOBOOK X515EA,i5 11TH GEN,,,8,256,,15.6,fhd,90000
asus,VivoBook 14 X413EA,i5 11th Gen,,,8,256,,14,fhd,95000
asus,VivoBook 15 K513EA,i5 11th Gen,,,8,512,,15.6,fhd,102000
asus,VIVOBOOK K403FA,i5 10TH GEN,,,8,512,,14,fhd touch,106000
asus,VivoBook Flip TM420IA,RYZEN 4500U,,,8,512,,14,fhd,108000
asus,VIVOBOOK X415JA,i7 10TH GEN,,,8,256,,14,fhd,115000
asus,VIVOBOOK S15 S533FL,i5 10TH GEN,,,8,512,,15.6,fhd touch,116000
asus,VivoBook Flip 14 TM420UA,Ryzen 5 5500U,,,8,512,,14,fhd,116000
asus,VivoBook S14 S431,I7 8th Gen,,NVIDIA MX250,8,256,,14,fhd touch,120000
asus,VivoBook Flip 14 TP470EA,i5 11th Gen,,1135G7,8,512,,14,fhd,120000
asus,VivoBook 15 X515JP,i7 10th Gen,144,NVIDIA MX330,8,512,,15.6,fhd,122000
asus,TUF F15 Gaming Laptop,i5 10Th Gen,,GTX 1650,8,512,,15.6,fhd,122000
asus,ZenBook 13 UX325JA,I5 10 GEN,,,8,512,,13.3,fhd,125000
asus,ZenBook 14 UX425JA,I5 10 GEN,,,8,512,,14,fhd,125000
asus,VivoBook 15 X515EP,i7 11th Gen,,NVIDIA MX330,8,512,,15.6,fhd,126000
asus,ZenBook 13 UX325EA,I5 11 GEN,,,8,512,,13.3,fhd,127000
asus,ZenBook 14 UX425EA,I5 11 Gen,,,8,512,,14,fhd,127000
asus,VIVOBOOK K403FA,i7 10TH GEN,144,,16,512,,14,fhd,131000
asus,TUF F15 Gaming Laptop,i5 10Th Gen,,GTX 1650Ti,16,512,,15.6,fhd touch,132000
asus,S ZenBook UX463FA,i5 10th Gen,,,8,512,,14,fhd,134000
asus,TUF A15 Gaming Laptop,Ryzen 5 4600H,,GTX 1650Ti,8,512,,15.6,fhd,135000
asus,VivoBook 15 K513EQ,i7 11th Gen,144,NVIDIA MX350,8,512,,15.6,fhd,135000
