brandname,model,cpucore,clock,gpu,ram,ssd,rom,display,displayquality,price
Asus,TUF Dash F15 2021,Core i7-11370H,240Hz,RTX 3070,16GB,1024GB,,15.6,FHD,183000
Asus,TUF A15 FA506II,Ryzen 7 4800H,144Hz,GTX 1650 Ti,16GB,512GB,,15.6,FHD,152000
Asus,TUF A15 FA506IU,Ryzen 7 4800H,144Hz,GTX 1660 Ti,16GB,512GB,,15.6,FHD,161000
Asus,ROG Strix G15 G512LI,Core i5-10300H,144Hz,GTX 1650 Ti,16GB,512GB,,15.6,FHD,148000
Asus,ROG Strix G15 G512LI,Core i7-10870H,144Hz,GTX 1650 Ti,16GB,512GB,,15.6,FHD,168800
Asus,ROG Strix Scar 15 G533WS,Ryzen 9 5900HX,300Hz,RTX 3080,16GB,1024GB,,15.6,FHD+,410000
Asus,Zephyrus G14 GA401IU,Ryzen 7 4800H,120Hz,GTX 1660 Ti,16GB,512GB,,14,FHD,200000
Dell,Inspiron 15 3501,Core i3-1005G1,,Intel UHD,4GB,,1024GB,15.6,HD,58750
Dell,Inspiron 15 3501,Core i5-1135G7,,MX330,4GB,,1024GB,15.6,FHD,86235
Dell,Inspiron 13 5391,Core i5-10210U,,Intel UHD,8GB,256GB,,13.3,FHD,102000
Dell,Inspiron 13 5391,Core i5-10210U,,Intel UHD,8GB,256GB,,13.3,FHD,103000
Dell,Inspiron 14 5301,Core i5-1135G7,,MX350,8GB,512GB,,13.3,FHD,126270
Dell,Inspiron 14 5301,Core i7-1165G7,,MX350,8GB,512GB,,13.3,FHD,140490
Dell,Inspiron 14 5406,Core i5-1135G7,,Iris Xe,8GB,512GB,,14,FHD,126380
Dell,Inspiron 14 5406,Core i5-1135G7,,MX230,8GB,512GB,,14,FHD,135835
Dell,Inspiron 14 5406,Core i7-1165G7,,MX230,8GB,512GB,,14,FHD,154455
Dell,Inspiron 15 5502,Core i7-1135G7,,Intel UHD,8GB,256GB,,15.6,FHD,120000
Dell,Inspiron 15 5505,Ryzen 7 4700U,,Radeon,8GB,512GB,,15.6,FHD,113905
Dell,Inspiron 15 5593,Core i5-1035G1,,MX230,8GB,512GB,,15.6,FHD,95000
Dell,Inspiron 13 7306,Core i5-1135G7,,Intel Iris Xe,8GB,512GB,,13.3,FHD,161405
Dell,Inspiron 13 7306,Core i7-1165G7,,Intel Iris Xe,16GB,512GB,,13.3,4K,189905
Dell,Inspiron 13 7391,Core i5-10210U,,Intel Iris Xe,8GB,256GB,,13.3,FHD,118000
Dell,Inspiron 13 7391,Core i5-10510U,,Intel Iris Xe,8GB,512GB,,13.3,4K,120000
Dell,Inspiron 13 7391,Core i7-10510U,,Intel Iris Xe,8GB,256GB,,13.3,FHD,148000
Dell,Inspiron 13 7391,Core i7-10510U,,Intel Iris Xe,16GB,512GB,,13.3,4K,157000
Dell,Inspiron 14 7490,Core i5-10210U,,Intel Iris Xe,8GB,256GB,,14,FHD,118000
Dell,Inspiron 14 7490,Core i7-10510U,,Intel Iris Xe,8GB,512GB,,14,FHD,120000
Dell,Inspiron 14 7490,Core i7-10510U,,Intel Iris Xe,8GB,256GB,,14,FHD,125000
Dell,Inspiron 14 7490,Core i5-10210U,,Intel Iris Xe,8GB,512GB,,14,FHD,125000
