Brand_name,Model,CPU_core,Clock,GPU,RAM,SSD,HDD,Display_Size,Display_quality,Price
ASUS, VIVOBOOK K403FA ,i5 10TH GEN,,, 8GB RAM, 512GB SSD,,14, FHD,106000
Asus, VivoBook Flip TM420IA, RYZEN 4500U ,,, 8GB RAM , 512GB SSD ,,14,FHD 360 Touch display,108000
ASUS, VIVOBOOK X415JA, i7 10TH GEN,,, 8GB RAM, 256GB SSD , ,14, FHD BACKLIGHT KEYBOARD ,115000
ASUS, VIVOBOOK S15 S533FL, i5 10TH GEN,,, 8GB RAM, 512GB SSD,,15.6, FHD,116000
Asus, VivoBook Flip 14 TM420UA, Ryzen 5 5500U ,,, 8GB RAM, 512GB SSD ,,14, FHD 360 Touch display,116000
Asus, VivoBook S14 S431, I7 8th Gen,, NVIDIA MX250 , 8GB RAM , 256GB SSD,,14, FHD Backlight Keyboard,120000
Asus, VivoBook Flip 14 TP470EA ,i5 11th Gen,, 1135G7 , 8GB RAM , 512GB SSD ,,14,FHD 360 Touch,120000
Asus, VivoBook 15 X515JP ,i7 10th Gen,, NVIDIA MX330 , 8GB RAM, 512GB SSD ,,15.6,FHD display,122000
Asus, TUF F15 Gaming Laptop ,i5 10Th Gen,, GTX 1650, 8GB RAM , 512GB SSD ,,15.6, FHD 144Hz,122000
Asus, ZenBook 13 UX325JA ,I5 10 GEN,,, 8GB RAM , 512GB SSD ,,13.3, FHD,125000
ASUS, ZenBook 14 UX425JA, I5 10 GEN,, , 8GB RAM , 512GB SSD ,,14, FHD,125000
Asus, VivoBook 15 X515EP, i7 11th Gen,, NVIDIA MX330 , 8GB RAM , 512GB SSD ,,15.6,FHD,126000
ASUS, ZenBook 13 UX325EA ,I5 11 GEN,,, 8GB RAM , 512GB SSD ,,13.3, FHD,127000
Asus, ZenBook 14 UX425EA ,I5 11 Gen,,, 8GB RAM , 512GB SSD , ,14, FHD,127000
ASUS, VIVOBOOK K403FA, i7 10TH GEN,,, 16GB RAM, 512GB SSD,,14, FHD,131000
Asus, TUF F15 Gaming Laptop, i5 10Th Gen,, GTX 1650Ti , 16GB RAM , 512GB SSD ,,15.6, FHD 144Hz display,132000
Asus,S ZenBook UX463FA ,i5 10th Gen,,, 8GB RAM , 512GB SSD ,,14, FHD 360-degree Touchscreen display,134000
Asus, TUF A15 Gaming Laptop ,Ryzen 5 4600H,,GTX 1650Ti, 8GB RAM, 512GB SSD,,15.6, FHD 144Hz,135000
Asus, VivoBook 15 K513EQ, i7 11th Gen,, NVIDIA MX350 , 8GB RAM , 512GB SSD ,,15.6, FHD ,135000
Asus, ROG Strix G531GT ,i5 9TH GEN,, GTX 1650, 8GB RAM, 512GB SSD,,15.6, FHD 144Hz,137000
Asus, VivoBook Flip 14 TP470EA ,i7 11th Gen,, 1135G7 , 8GB RAM , 512GB SSD,,14, FHD 360 Touch display,138000
Asus, VivoBook S15 S533EA ,i7 11th Gen,,, 16GB RAM , 512GB SSD ,,15.6, FHD ,141000
Asus, VivoBook S15 S533JQ, i7 10th Gen,, Nvidia MX350, 16GB RAM , 512GB SSD ,,15.6, FHD,141000
Asus, ZenBook 14 UX434FQ ,i5 10th Gen,, NVIDIA MX350 , 8GB RAM , 512GB SSD ,,14, FHD,142000
Asus, ROG Strix G15 G512LI ,i5 10TH GEN,, GTX 1650TI , 16GB RAM, 512GB SSD,,15.6, FHD 144Hz,143000
Asus, ZenBook Flip 13 UX363EA ,i5 11th Gen,,, 16GB RAM , 512GB SSD ,,13.3, FHD 360-degree Touchscreen display,146000
Asus, TUF F15 Gaming Laptop ,i7 10Th Gen,, 8 Core GTX 1650 , 8GB RAM , 512GB SSD ,,15.6, FHD 144Hz,148000
Asus, ZenBook 13 UX325JA ,I7 10 GEN,,, 16GB RAM , 512GB SSD ,,13.3, FHD,148000
Asus, TUF A15 FA506II Gaming Laptop, Ryzen 7 4800H,,GTX 1650Ti, 16GB RAM, 512GB SSD,,15.6, FHD 144Hz,152000
Asus, ZenBook 14 UX435EG ,i5 11th Gen,,, 8GB RAM , 512GB SSD ,,14, FHD Touch,153000
Asus, ZenBook 13 UX325EA, I7 11th Gen,,, 16GB RAM , 512GB SSD ,,13.3, FHD,154000
Asus, ZenBook 14 UX425EA ,I7 11th Gen,,, 16GB RAM , 512GB SSD ,,13.3, FHD ,154000
Asus, TUF A15 FA506IU Gaming Laptop ,Ryzen 7 4800H,,GTX 1660Ti, 16GB RAM, 512GB SSD,,15.6, FHD 144Hz,161000
Asus, TUF A17 FA706IU Gaming Laptop, Ryzen 7 4800H,,GTX 1660Ti, 8GB RAM, 512GB SSD,,17.3, FHD 144 Hz,167000
Dell ,Vostro 3501, i3 10th Gen,, , 4GB RAM ,, 1TB HDD ,15.6,HD,59000
Dell ,Vostro 3401, i3 10th Gen,, , 4GB RAM ,, 1TB HDD ,14, HD,59000
Dell ,Vostro 3401, i3 10th Gen,,, 8GB RAM ,, 1TB HDD ,14, HD,62000
Dell ,Latitude 3410, i3 10th Gen,,, 4GB RAM ,, 1TB HDD ,14, HD,65500
Dell ,Vostro 3400 ,i5 11th Gen,,, 4GB RAM ,, 1TB HDD ,14,FHD,79000
Dell ,Vostro 3500 ,i5 11th Gen,,, 4GB RAM ,, 1TB HDD ,15.6,FHD,79000
Dell ,Inspirion 3501, i5 11th Gen,,Nvidia MX330 2GB, 8GB RAM , 256GB SSD ,,15.6, FHD,94000
Dell ,Inspiron 5391 ,i5 10th Gen,,, 8GB RAM , 256GB SSD ,,13.3,FHD,103000
Dell ,G3 G3590 ,i5 9th Gen,,  GTX 1650 , 8GB RAM , 512GB SSD ,,15.6, FHD,108000
Dell ,Vostro 3500 ,i7 11th Gen,,Nvidia MX330, 8GB RAM , 512GB SSD , ,15.6,FHD,112000
Dell ,Inspiron 7490 ,i5 10th Gen,,, 8GB RAM , 256GB SSD ,,14, FHD Touch Display,118000
Dell ,Inspiron 7391, i5 10th Gen,,, 8GB RAM , 256GB SSD ,,13.3, FHD,118000
Dell ,Inspiron 7300 2-in-1 ,i5 10th Gen,,, 8GB RAM , 512GB SSD ,,13.3, FHD 360-degree Touch Screen,119000
Dell ,Inspiron 7490, i7 10th Gen,,, 8 GB RAM , 512GB SSD ,,14, FHD,120000
Dell ,Inspiron 5400 2-in-1 ,i7 10th Gen,,, 8GB RAM , 512GB SSD ,,14, FHD x360 Touch Display,121000
Dell ,G3 G3500 i5 ,10th Gen,,NVIDIA GTX 1650TI , 8GB RAM , 512GB SSD ,,15.6, 120Hz FHD Display,125000
Dell ,Inspiron 7490 ,i5 10th Gen,,NVIDIA MX250 , 8GB RAM , 512GB SSD ,,14,FHD Display,125000
Dell ,G3 G3500 ,i5 10th Gen,,NVIDIA GTX 1660TI , 16GB RAM , 512GB SSD ,,15.6,FHD,135000
Dell ,Inspiron 7405 2-in-1 ,Ryzen 7 4700U ,,, 16GB RAM , 512GB SSD ,,14, FHD 360-degree Touch Screen Display,135000
Dell ,XPS 13 7390 ,i5 10 GEN,,, 8GB RAM, 256GB SSD,,13.3,FHD,140000
Dell ,Inspiron 7391, i7 10th Gen,, NVIDIA MX250 , 8GB RAM , 512GB SSD ,,13.3,FHD,148000
Dell ,Inspiron 7591, i7 9th Gen,, GTX 1650 Graphics Card , 16GB RAM , 512GB SSD ,,15.6,FHD,155000
