Brand name,Model name,CPU core,Clock,GPU,RAM,SSD,HDD,Display_size,Display_quality,        Price,
Dell, Inspiron 7370,Intel Core i5 8250U,,,8GB RAM,256GB SSD,,13.3,FHD,85000,
Dell, Inspiron 7567,Intel Core i7 7700HQ,,NVIDIA GTX1050Ti,16GB RAM,128 GB SSD,1TB HDD,15.6,FHD,127000,
Dell, Inspiron 7567,Intel Core i5 7300HQ,,NVIDIA GTX1050Ti,8GB RAM,256 GB SSD,,15.6,FHD,100000,
Dell, Inspiron 7570,Intel Core I7-8550U,,NVIDIA 940MX,16GB RAM,512GB SSD,,15.6,,135000,
Dell, Inspiron 7573-7019BLK ,Core i7-8550U,,Nvidia MX130 ,16GB DDR4 RAM ,256GB SSD ,,,,135000,
Dell, Inspiron 7577,Intel Core Core i7 7700HQ,,NVIDIA GTX1060,16GB RAM,128GB SSD,1TB HDD,15.6, FHD ,146000,
Dell, Latitude 3480 Laptop,Core i3 6th gen,,,4GB RAM,,1TB HDD,,,42951,
Dell, XPS 9570,i9 -8950HK,,,,,,15.6,,330800,
Gigabyte,AERO 15X,i7-8750H,,,,,,,,312800,
Gigabyte,P57X v7,,,,,,,,,180800,
HP, 15-DA0326TU,Core i3 7th gen,,,4GB RAM,,1TB HDD,,,45600,
HP, Envy,8th Gen Intel Core i7 8550U,,,8GB RAM,360 GB SSD,,13.3,,115000,
HP, ENVY 15T x360,8th Gen Intel Core i5 8250U,,,8GB RAM,,,15.6,FHD,80000,
HP, OMEN 15-DC0020CA, Core i7-8750H GTX 1060,,, 16GB DDR4 RAM ,128 GB SSD,1 TB HDD,,,155000,
HP, OMEN 15T Gamer Notebook ,,,,,500 GB SSD,,15.6, FHD ,228800, 
HP, OMEN 17,i7 8th Gen,,,,,,,,225800,
HP, Pavilion - 14-bf116tx,Intel Core i5 8250U,,NVIDIA GeForce 940MX ,8GB RAM,,1TB HDD,14,FHD,77000,
HP, Pavilion 15 CK063TX,Intel Core i5 8250U,,NVIDIA MX150,8GB RAM,,1TB HDD,15.6,FHD,76000,
HP, Pavilion 15 Power,Intel Core i5 7300HQ,,NVIDIA GTX1050,8GB RAM,,1TB HDD,15.6,FHD,88000,
HP, Pavilion 15-Ck013ca,Intel Core i7 8550U,,NIVIDIA GeForce MX150,12GB RAM,256 GB SSD,1TB HDD,15.6,FHD,95000,
HP, Pavilion 15-CK075,Intel Core i5 8250U,,, 8GB RAM,,,15.6, HD,75000,
HP, ProBook 440 G4,Intel Core i5 7200U,,,GB RAM,,500GB HDD,14,FHD,65000,
HP, Spectre 15-BL112 x360,Intel Core I7 8250U,,NVIDIA MX150,16GB RAM,512GB SSD,,15.6,FHD,185000,
HP, Spectre x360 8th gen HP, 8th Gen Int Core I7 8550U,,,16GB RAM,512GB,,13,,175000,
Lenovo, Ideapad 330 81DC00TGIN,Intel Core i3 Laptop 6th Generation,,,4GB RAM,,1TB,15.6, HD,39975,
Lenovo, IdeaPad L340 15,,,,,,,,,108800,
Lenovo, Legion Y520, i7-7th Gen,,,,,,,,130800,
Lenovo, Legion Y545,9th Gen-i7,,,,,,15,,170800,
Lenovo, LEGION Y730,i7-8570H Processor,,GTX 1050 Ti,16GB RAM,128GB SSD,1TB HDD,15,,110800,
Lenovo, V110 80THA00TIH Laptop,Core i5 Processor 7th Generation,,,4 GB RAM,500 GB,,,,53500,
Lenovo, Y520 Legion,Intel Core i5 7300HQ,,NVIDIA GTX1050ti, 8GB RAM,,1TB,15.6,FHD,97000,
Lenovo, Y520 Legion,Intel Core i7 7700HQ,,NVIDIA GTX1050ti,16GB RAM,128GB SSD,1 TB,15.6,FHD,128000,
Lenovo, Y720 Legion,Intel Core i7 7700HQ,,NVIDIA GTX1060,16GB RAM,256GB SSD,,,,159000,
Lenovo, Yoga 720-13IKB,Intel Core i5 7200U,,,4GB RAM,128GB SSD,,13.3,,75000,
Lenovo, Yoga 720-15IKB,Intel Core i7 7700HQ,,NVIDIA GTX1050,8GB RAM,512GB SSD,,15.6,FHD,145000,
Lenovo, Yoga 910 ,Intel Core i7 7500U ,,,8GB RAM ,256GB SSD,,13.9,,115000,
MacBook,Pro,, 2.6GHZ,,,, 1TB,16,,380000,
MacBook,Pro,,2.6GHZ,,, 512 GB SSD,,16,,330000,
Microsoft Surface,Book SX300001,Intel Core i5 6300U,,NVIDIA GeForce Graphics,8GB RAM,256GB SSD,,13.5,FHD,170000,
Microsoft Surface,Pro 4,Intel Core i7 6650U,,,16GB RAM,256GB SSD,,12.3,FHD,195000,
MSI, GS65 ,,,Stealth RTX,,,,,,198800,
MSI, GF63 Thin,i7 9th Gen,,,,,,,,134800,
MSI, GL63,9th Gen i7 9750H,,NVIDIA GeForce RTX 2060,6GB DDR6 RAM,,,,,178800,
MSI, GP Leopard,Intel i7 8 Gen,,,,,,,,132800,
MSI, GS Series GS75 Stealth,,,RTX 2080,,,,,,304800,
MSI, GS43VR 7RE PHANTOM Pro,Intel Core i7 7700HQ,,NVIDIA GTX 1060,16GB RAM,128GB SSD,1 TB HDD,14,FHD,175000,
MSI, GS63 Stealth Thin 8RE,,,,,,,,,154800,
MSI, GS63VR STEALTH Pro,Intel Core i7 7700HQ,,NVIDIA GTX 1060,16GB RAM,256GB,1 TB HDD,15.6,FHD,175000,
Razer Blade,Core,Intel Core i7 7700HQ,,NVIDIA GTX1060,16GB RAM,512GB SSD,,14,FHD,230000,
Razer Blade,Pro,Intel Core i7 7700HQ,,NVIDIA GTX1060,16GB RAM ,256GB SSD ,2TB HDD,17.3,FHD,280000,
Razer Blade,Stealth, Intel Core i7 7500U,,,16GB RAM,512GB SSD,,12.5,QHD,145000,
Samsung,Notebook Odyssey,i7,,,,,1 TB HDD,,,132800,
